data_point_id,source_paper,source_doi,feedstock_type,feedstock_category,feedstock_cellulose_pct,feedstock_hemicellulose_pct,feedstock_lignin_pct,feedstock_moisture_pct,feedstock_ash_pct,pyrolysis_temp_C,heating_rate_C_min,residence_time_h,pyrolysis_atmosphere,BET_surface_area_m2g,total_pore_volume_cm3g,micropore_volume_cm3g,mesopore_volume_cm3g,avg_pore_diameter_nm,C_pct,H_pct,N_pct,O_pct,H_C_molar_ratio,O_C_molar_ratio,pH,modification_type,Fe_loading_pct,modification_concentration_M,Qmax_Pb2_mg_g,Qmax_Cd2_mg_g,Qmax_Cr6_mg_g,Qmax_As3_mg_g,CO2_capacity_mmol_g,solution_pH,adsorbent_dosage_g_L,initial_metal_conc_mg_L,contact_time_h,temperature_C
DP-0519,Sun_2022,10.1016/j.scitotenv.2022.154668,Rice husk,Agricultural,50.5,16.6,16.7,9.7,8.2,600,5,2.0,N2,370.2,0.2293,0.1369,0.0924,2.5,46.5,3.2,1.51,40.6,0.826,0.655,9.6,Base-treatment,0.0,0.27,128.2,165.3,49.6,74.5,2.09,6.5,2.0,50,6,20
DP-0520,Sun_2022,10.1016/j.scitotenv.2022.154668,Rice husk,Agricultural,39.6,32.9,38.8,8.8,2.1,700,1,3.0,N2,434.8,0.2715,0.0848,0.1867,2.5,63.1,2.5,0.77,31.5,0.475,0.374,9.9,None,0.0,0.0,127.5,91.4,45.5,79.7,2.76,7.0,4.0,200,4,40
DP-0521,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Sawdust,Woody,46.5,19.4,16.8,6.6,11.5,400,3,3.0,N2,294.2,0.2324,0.0435,0.1889,3.2,45.3,4.4,1.36,37.4,1.166,0.619,7.3,None,0.0,0.0,132.1,91.4,21.2,75.4,1.57,7.0,2.0,100,6,25
DP-0522,Sun_2022,10.1016/j.scitotenv.2022.154668,Sawdust,Woody,32.3,29.1,16.2,5.5,9.0,600,10,1.0,N2,371.4,0.1871,0.0945,0.0926,2.0,68.1,3.2,0.64,19.1,0.564,0.21,8.8,None,0.0,0.0,107.3,75.3,21.7,43.9,2.33,3.0,5.0,10,2,35
DP-0523,Ma_2023,10.1016/j.seppur.2022.122521,Corn stover,Agricultural,50.1,25.7,27.5,5.3,0.5,800,30,2.0,N2,461.8,0.3795,0.1925,0.187,3.3,75.2,1.6,1.4,21.3,0.255,0.212,11.1,Base-treatment,0.0,1.18,136.3,89.0,40.7,49.6,4.17,6.0,4.0,100,2,30
DP-0524,Shen_2024,10.1016/j.jhazmat.2024.133442,Neem leaves,Agricultural,38.9,37.4,20.3,7.5,9.0,550,30,4.0,N2,348.7,0.1886,0.0958,0.0928,2.2,59.0,3.4,0.62,28.0,0.692,0.356,8.7,Base-treatment,0.0,1.24,127.4,91.1,31.0,65.9,2.95,6.0,1.0,100,24,25
DP-0525,Palansooriya_2022,10.1021/acs.est.1c08302,Miscanthus,Agricultural,28.6,19.9,26.5,10.1,8.7,550,10,2.0,N2,279.5,0.2534,0.1182,0.1352,3.6,58.1,3.2,5.17,24.8,0.661,0.32,7.8,Fe-loading,10.2,0.0,137.8,122.5,59.0,82.9,2.79,5.5,4.0,50,12,25
DP-0526,Ma_2023,10.1016/j.seppur.2022.122521,Pine wood,Woody,20.9,15.1,29.1,10.6,9.6,550,15,1.5,Ar,352.5,0.2124,0.0997,0.1127,2.4,58.1,2.6,2.02,27.7,0.537,0.358,9.9,Base-treatment,0.0,0.74,126.4,132.4,40.0,84.4,2.84,6.5,5.0,20,4,25
DP-0527,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,34.2,21.4,29.0,8.5,9.8,400,10,1.0,N2,165.0,0.1605,0.0308,0.1297,3.9,64.0,5.1,0.7,20.4,0.956,0.239,6.5,Acid-treatment,0.0,1.34,68.6,61.9,31.2,72.9,1.52,6.0,1.0,100,4,40
DP-0528,Ma_2023,10.1016/j.seppur.2022.122521,Sugarcane bagasse,Agricultural,25.9,28.9,5.0,5.0,15.0,600,20,0.5,Ar,349.8,0.2192,0.0936,0.1256,2.5,52.0,4.1,1.0,27.9,0.946,0.402,8.5,MgO,0.0,1.15,158.3,86.3,51.8,74.2,2.52,5.0,1.0,20,24,20
DP-0529,Long_2024,10.1016/j.chemosphere.2024.141584,Coconut shell,Woody,32.7,23.2,30.7,5.2,0.6,450,10,1.5,N2,388.2,0.2416,0.0837,0.1579,2.5,63.6,4.5,0.52,30.8,0.849,0.363,8.4,None,0.0,0.0,92.7,97.2,52.8,76.9,2.21,6.5,1.0,100,2,40
DP-0530,Shen_2024,10.1016/j.jhazmat.2024.133442,Miscanthus,Agricultural,55.7,33.5,27.6,9.1,6.7,500,20,4.0,N2,274.3,0.1567,0.0252,0.1315,2.3,52.7,4.8,0.63,35.2,1.093,0.501,9.0,None,0.0,0.0,85.9,118.9,44.5,66.3,1.04,5.5,4.0,10,6,25
DP-0531,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Coconut shell,Woody,27.6,25.4,25.9,9.6,5.7,750,20,2.0,N2,730.7,0.4518,0.202,0.2498,2.5,80.2,1.6,0.42,12.1,0.239,0.113,8.6,N-doping,0.0,1.11,134.5,80.0,27.4,58.9,4.34,5.5,5.0,10,48,25
DP-0532,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,37.9,19.5,14.7,7.8,6.3,300,3,2.0,N2,152.6,0.0903,0.032,0.0583,2.4,47.5,4.8,2.0,39.4,1.213,0.622,6.6,None,0.0,0.0,138.6,107.0,39.1,73.1,1.04,6.5,2.0,100,12,30
DP-0533,Ma_2023,10.1016/j.seppur.2022.122521,Cotton stalk,Agricultural,47.4,31.7,26.4,11.2,4.5,600,20,1.0,N2,245.7,0.1768,0.06,0.1168,2.9,66.3,3.7,2.24,23.3,0.67,0.264,9.4,None,0.0,0.0,101.1,83.3,36.9,59.7,2.06,5.0,4.0,500,12,40
DP-0534,Ma_2023,10.1016/j.seppur.2022.122521,Hickory wood,Woody,55.8,29.6,35.5,11.4,5.0,550,1,1.5,CO2,259.8,0.2689,0.0944,0.1745,4.1,57.2,3.2,3.08,31.5,0.671,0.413,9.1,None,0.0,0.0,122.2,107.0,47.5,59.8,2.7,7.0,4.0,10,4,30
DP-0535,Ma_2023,10.1016/j.seppur.2022.122521,Bamboo,Woody,53.1,27.6,27.5,4.8,11.7,650,20,3.0,CO2,411.0,0.208,0.0579,0.1501,2.0,72.8,2.0,3.14,10.4,0.33,0.107,11.0,None,0.0,0.0,81.7,68.4,31.7,32.1,2.85,5.5,1.0,500,12,25
DP-0536,Shen_2024,10.1016/j.jhazmat.2024.133442,Coconut shell,Woody,32.7,24.3,12.4,8.7,7.4,550,3,1.0,N2,408.7,0.255,0.0746,0.1804,2.5,52.3,3.7,0.87,35.7,0.849,0.512,8.5,ZnO,0.0,1.48,136.2,121.3,46.1,60.5,2.97,5.0,4.0,500,6,30
DP-0537,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Oak wood,Woody,29.0,29.5,11.7,7.4,6.6,350,15,1.5,N2,182.1,0.1954,0.048,0.1474,4.3,52.8,5.8,1.24,33.6,1.318,0.477,6.8,None,0.0,0.0,108.2,105.7,44.4,86.2,1.28,7.0,0.5,100,12,50
DP-0538,Shen_2024,10.1016/j.jhazmat.2024.133442,Sugarcane bagasse,Agricultural,27.3,25.9,21.0,5.9,11.2,500,15,2.0,N2,396.4,0.2518,0.083,0.1688,2.5,57.4,2.9,1.4,27.1,0.606,0.354,7.1,Acid-treatment,0.0,0.41,148.6,128.3,30.3,50.6,2.37,9.0,1.0,20,6,30
DP-0539,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Wheat straw,Agricultural,33.2,31.8,17.4,4.5,8.5,550,15,1.0,N2,262.3,0.1886,0.0833,0.1053,2.9,53.1,3.5,0.76,34.1,0.791,0.482,9.3,Fe-loading,5.6,0.0,140.4,142.7,42.7,78.7,2.23,4.0,0.5,200,6,50
DP-0540,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Wheat straw,Agricultural,43.8,29.2,17.5,7.4,6.8,750,15,3.0,N2,388.1,0.2684,0.1314,0.137,2.8,71.2,3.6,0.93,17.5,0.607,0.184,10.1,Fe-loading,7.3,0.0,138.2,117.8,25.2,77.6,2.76,5.0,2.0,100,4,20
DP-0541,Yuan_2021,10.1021/acs.est.1c01849,Wheat straw,Agricultural,34.4,23.2,18.5,7.3,13.8,550,1,4.0,CO2,332.9,0.1528,0.0734,0.0794,1.8,54.8,4.0,2.7,24.7,0.876,0.338,9.2,None,0.0,0.0,99.7,85.6,27.1,60.0,3.22,6.5,2.0,100,6,25
DP-0542,Ma_2023,10.1016/j.seppur.2022.122521,Bamboo,Woody,30.8,21.7,35.2,6.6,16.2,600,5,2.0,N2,309.6,0.18,0.063,0.117,2.3,57.6,3.7,1.69,20.8,0.771,0.271,9.0,N-doping,0.0,0.8,97.6,106.9,29.7,52.9,2.36,7.0,4.0,200,4,40
DP-0543,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Poultry litter,Waste,46.0,29.0,26.9,7.0,8.9,400,10,1.0,N2,216.8,0.1347,0.0333,0.1014,2.5,51.3,3.8,0.57,35.4,0.889,0.518,8.2,None,0.0,0.0,147.0,116.0,40.1,77.6,1.99,6.5,4.0,10,4,50
DP-0544,Sun_2022,10.1016/j.scitotenv.2022.154668,Peanut shell,Agricultural,30.6,30.3,5.0,8.0,8.4,600,3,0.5,N2,407.8,0.2872,0.1535,0.1337,2.8,55.2,4.5,0.58,31.3,0.978,0.425,9.3,None,0.0,0.0,152.2,95.6,28.9,65.4,2.92,7.0,2.0,100,1,20
DP-0545,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Wheat straw,Agricultural,45.8,31.0,30.0,8.8,9.8,700,10,0.5,N2,416.0,0.291,0.0966,0.1944,2.8,62.9,3.1,8.5,15.7,0.591,0.187,9.5,Acid-treatment,0.0,1.7,82.5,92.5,18.4,60.1,4.26,8.0,2.0,200,6,25
DP-0546,Palansooriya_2022,10.1021/acs.est.1c08302,Wheat straw,Agricultural,57.3,28.9,17.0,6.1,6.0,500,3,3.0,N2,410.2,0.2451,0.0964,0.1487,2.4,51.7,3.2,1.52,37.6,0.743,0.545,7.4,None,0.0,0.0,130.1,116.0,59.0,91.0,2.46,6.0,2.0,50,12,30
DP-0547,Yuan_2021,10.1021/acs.est.1c01849,Palm kernel shell,Woody,32.0,30.5,11.1,10.5,8.6,350,5,2.0,Ar,187.6,0.1034,0.0409,0.0625,2.2,48.7,5.5,1.81,35.4,1.355,0.545,7.2,None,0.0,0.0,100.8,112.2,29.6,71.4,0.81,7.0,2.0,200,6,50
DP-0548,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Wheat straw,Agricultural,52.9,19.8,20.8,11.6,13.6,650,10,3.0,N2,412.6,0.2765,0.0961,0.1804,2.7,63.4,3.2,1.75,18.0,0.606,0.213,9.9,Base-treatment,0.0,1.44,96.3,86.3,26.4,52.3,3.04,5.0,1.0,20,12,20
DP-0549,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Sugarcane bagasse,Agricultural,55.0,29.9,14.5,8.9,3.1,700,15,2.0,N2,410.4,0.2194,0.091,0.1284,2.1,66.6,2.9,0.84,26.6,0.523,0.3,10.1,None,0.0,0.0,109.1,86.7,35.5,56.8,2.13,6.5,1.0,200,24,25
DP-0550,Shen_2024,10.1016/j.jhazmat.2024.133442,Sugarcane bagasse,Agricultural,32.7,22.8,23.7,8.0,13.3,500,5,0.5,N2,261.8,0.1595,0.0308,0.1287,2.4,63.0,4.7,0.39,18.6,0.895,0.221,7.8,None,0.0,0.0,116.7,69.9,22.2,67.0,0.83,6.0,4.0,100,4,25
DP-0551,Long_2024,10.1016/j.chemosphere.2024.141584,Walnut shell,Woody,19.2,26.9,20.3,8.2,0.5,400,15,2.0,N2,147.9,0.1006,0.0407,0.0599,2.7,51.4,4.2,0.36,43.5,0.981,0.635,6.9,None,0.0,0.0,122.8,122.7,63.7,84.1,2.25,3.0,0.5,50,12,40
DP-0552,Palansooriya_2022,10.1021/acs.est.1c08302,Corn stover,Agricultural,26.5,24.2,12.3,11.8,11.4,550,15,2.0,N2,369.8,0.2309,0.1187,0.1122,2.5,63.4,3.7,0.65,20.8,0.7,0.246,9.7,Base-treatment,0.0,1.94,103.0,89.4,34.2,53.0,2.82,6.5,4.0,10,2,25
DP-0553,Shen_2024,10.1016/j.jhazmat.2024.133442,Rice husk,Agricultural,47.4,17.8,25.8,9.7,0.5,600,10,2.0,CO2,383.2,0.1804,0.1145,0.0659,1.9,64.7,3.7,1.09,30.0,0.686,0.348,9.4,None,0.0,0.0,126.9,101.4,37.5,57.3,2.08,7.0,2.0,100,12,30
DP-0554,Palansooriya_2022,10.1021/acs.est.1c08302,Corn stover,Agricultural,38.2,13.4,28.0,8.5,13.0,500,5,3.0,N2,306.6,0.1412,0.0493,0.0919,1.8,57.7,3.1,0.99,25.2,0.645,0.328,7.1,N-doping,0.0,0.51,113.1,76.0,21.2,79.7,2.49,3.0,1.0,50,4,40
DP-0555,Long_2024,10.1016/j.chemosphere.2024.141584,Wheat straw,Agricultural,32.2,16.4,27.5,9.9,13.5,350,15,1.0,N2,208.7,0.1935,0.0739,0.1196,3.7,49.4,4.6,0.99,31.5,1.117,0.478,8.3,Base-treatment,0.0,0.27,114.1,83.5,35.3,57.3,1.21,6.5,0.5,10,4,40
DP-0556,Shen_2024,10.1016/j.jhazmat.2024.133442,Corncob,Agricultural,42.5,32.2,21.9,5.7,6.9,350,5,1.0,Ar,197.7,0.1358,0.057,0.0788,2.7,40.5,5.9,3.96,42.7,1.748,0.791,8.3,None,0.0,0.0,158.6,137.8,50.9,64.7,2.35,8.0,2.0,200,1,25
DP-0557,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,45.9,18.8,25.2,12.6,12.7,600,5,2.0,N2,320.9,0.1951,0.0881,0.107,2.4,62.3,3.8,0.4,20.8,0.732,0.25,8.8,Base-treatment,0.0,0.87,101.4,91.5,21.7,32.5,2.25,5.0,4.0,100,12,25
DP-0558,Ma_2023,10.1016/j.seppur.2022.122521,Bamboo,Woody,23.4,31.9,26.6,10.4,14.5,750,3,1.0,N2,416.5,0.3525,0.1411,0.2114,3.4,67.9,3.2,3.51,10.9,0.566,0.12,9.2,None,0.0,0.0,86.7,65.4,0.8,45.0,4.31,3.0,2.0,200,24,30
DP-0559,Ma_2023,10.1016/j.seppur.2022.122521,Pine wood,Woody,51.7,31.1,5.0,7.6,7.9,800,10,0.5,N2,556.4,0.3671,0.1825,0.1846,2.6,66.2,2.0,1.07,22.8,0.363,0.258,10.9,None,0.0,0.0,121.1,88.1,46.3,79.1,4.26,8.0,0.5,50,12,20
DP-0560,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Rice husk,Agricultural,46.1,24.1,26.9,4.5,2.9,400,10,1.0,N2,267.8,0.265,0.0504,0.2146,4.0,39.9,4.2,1.37,45.0,1.263,0.846,7.6,None,0.0,0.0,171.8,147.9,59.4,77.7,1.36,6.0,0.5,200,6,50
DP-0561,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Corn stover,Agricultural,49.4,31.3,29.7,7.0,14.8,450,1,3.0,CO2,322.1,0.2019,0.0703,0.1316,2.5,49.8,5.1,1.77,28.5,1.229,0.429,8.0,Acid-treatment,0.0,0.13,96.6,97.9,44.1,56.5,1.83,6.0,5.0,50,4,20
DP-0562,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Poultry litter,Waste,26.9,15.6,26.0,4.7,1.3,800,3,2.0,N2,532.2,0.2964,0.1833,0.1131,2.2,68.0,1.9,1.06,27.7,0.335,0.306,8.9,None,0.0,0.0,131.5,106.6,51.1,81.7,4.35,6.0,0.5,100,6,25
DP-0563,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Palm kernel shell,Woody,28.0,20.3,37.3,18.0,6.4,500,10,1.0,N2,373.5,0.236,0.1058,0.1302,2.5,61.6,3.6,1.55,26.8,0.701,0.326,9.3,None,0.0,0.0,126.9,90.5,36.0,63.4,1.97,4.0,1.0,50,4,25
DP-0564,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Pine wood,Woody,43.0,23.2,37.3,6.6,3.0,800,10,1.5,CO2,511.1,0.3613,0.2432,0.1181,2.8,72.6,1.4,0.94,22.1,0.231,0.228,9.8,Acid-treatment,0.0,1.37,100.2,95.6,45.0,83.0,3.8,6.0,5.0,50,4,50
DP-0565,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Corncob,Agricultural,38.1,40.0,28.8,2.0,0.5,500,5,1.0,N2,241.7,0.1642,0.0262,0.138,2.7,58.8,4.3,3.09,33.3,0.878,0.425,8.4,None,0.0,0.0,140.8,91.6,29.9,56.9,2.95,6.5,2.0,100,4,20
DP-0566,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Sugarcane bagasse,Agricultural,44.8,24.6,9.6,11.5,11.6,500,10,2.0,N2,306.0,0.2106,0.0741,0.1365,2.8,68.9,3.7,1.81,14.0,0.644,0.152,8.1,N-doping,0.0,0.23,84.6,46.5,26.1,36.2,2.25,5.0,5.0,100,48,20
DP-0567,Shen_2024,10.1016/j.jhazmat.2024.133442,Miscanthus,Agricultural,35.4,13.1,17.8,4.6,4.7,600,10,3.0,N2,368.7,0.2435,0.084,0.1595,2.6,69.8,4.2,2.69,18.6,0.722,0.2,9.1,N-doping,0.0,1.96,106.3,74.9,18.5,41.0,3.05,3.0,2.0,200,1,25
DP-0568,Long_2024,10.1016/j.chemosphere.2024.141584,Coconut shell,Woody,38.7,19.4,16.3,9.1,5.6,650,10,1.0,N2,636.5,0.3649,0.1653,0.1996,2.3,69.9,2.9,1.03,20.6,0.498,0.221,9.8,Acid-treatment,0.0,0.47,130.8,100.7,43.2,76.6,4.12,7.0,5.0,10,48,40
DP-0569,Shen_2024,10.1016/j.jhazmat.2024.133442,Wheat straw,Agricultural,60.0,28.4,23.1,9.5,6.0,450,10,1.0,N2,341.4,0.2123,0.0901,0.1222,2.5,53.7,5.0,3.2,32.1,1.117,0.448,8.2,None,0.0,0.0,156.5,91.3,18.9,74.0,3.14,3.0,2.0,50,48,30
DP-0570,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Palm kernel shell,Woody,44.4,32.9,26.4,7.0,12.6,800,15,3.0,Ar,691.3,0.3954,0.2136,0.1818,2.3,63.8,2.6,0.97,20.0,0.489,0.235,10.9,None,0.0,0.0,140.1,114.5,30.4,45.9,4.5,5.0,5.0,100,24,30
DP-0571,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Sugarcane bagasse,Agricultural,41.1,23.5,26.9,7.9,6.3,400,20,0.5,N2,242.5,0.1652,0.0291,0.1361,2.7,50.6,4.9,2.83,35.4,1.162,0.525,8.1,None,0.0,0.0,142.1,143.8,41.0,68.2,3.32,7.0,4.0,200,24,25
DP-0572,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Wheat straw,Agricultural,55.5,29.8,32.8,6.9,10.4,700,5,0.5,N2,462.4,0.2948,0.1767,0.1181,2.6,70.7,1.7,0.46,16.7,0.289,0.177,9.1,N-doping,0.0,0.73,118.1,95.8,41.8,73.0,3.41,6.5,1.0,100,12,20
DP-0573,Ma_2023,10.1016/j.seppur.2022.122521,Rice husk,Agricultural,38.9,25.4,11.5,4.5,8.3,650,10,0.5,N2,401.4,0.2172,0.1159,0.1013,2.2,74.4,3.5,0.58,13.2,0.565,0.133,9.2,None,0.0,0.0,60.5,74.9,23.5,62.5,2.85,5.0,1.0,10,2,25
DP-0574,Shen_2024,10.1016/j.jhazmat.2024.133442,Bamboo,Woody,43.2,22.0,27.1,5.1,8.4,700,3,1.5,N2,467.2,0.2829,0.1229,0.16,2.4,65.3,3.0,1.53,21.8,0.551,0.25,9.5,Acid-treatment,0.0,1.57,102.0,86.8,33.4,70.8,3.4,6.0,2.0,20,4,25
DP-0575,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Corn stover,Agricultural,39.3,24.7,5.0,7.7,10.9,300,5,2.0,N2,237.2,0.1714,0.043,0.1284,2.9,47.4,6.2,3.96,31.5,1.57,0.498,8.2,None,0.0,0.0,121.3,96.5,41.6,83.5,1.46,9.0,2.0,10,6,30
DP-0576,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Wheat straw,Agricultural,34.2,30.0,25.0,5.4,8.2,400,20,4.0,CO2,179.8,0.114,0.0254,0.0886,2.5,43.1,6.2,0.7,41.8,1.726,0.727,7.7,None,0.0,0.0,120.9,97.1,32.0,86.8,2.13,5.0,10.0,100,12,30
DP-0577,Shen_2024,10.1016/j.jhazmat.2024.133442,Sawdust,Woody,34.4,23.5,28.3,4.9,9.8,600,15,4.0,N2,485.4,0.333,0.0993,0.2337,2.7,67.4,2.5,1.19,19.1,0.445,0.213,10.7,Fe-loading,5.9,0.0,108.5,109.0,24.3,71.4,2.82,7.0,5.0,100,1,25
DP-0578,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Rice husk,Agricultural,30.0,32.5,14.5,7.0,6.4,450,20,1.5,N2,258.7,0.1844,0.0543,0.1301,2.9,50.6,5.6,1.14,36.3,1.328,0.538,8.4,Acid-treatment,0.0,0.53,110.4,111.9,59.8,78.2,2.64,4.0,4.0,200,48,30
DP-0579,Long_2024,10.1016/j.chemosphere.2024.141584,Cotton stalk,Agricultural,35.2,22.0,20.1,6.5,8.5,500,15,2.0,N2,306.3,0.2053,0.0739,0.1314,2.7,53.4,3.8,2.42,31.9,0.854,0.448,9.2,Fe-loading,0.8,0.0,161.6,130.8,32.8,79.9,1.83,5.5,4.0,100,24,30
DP-0580,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Corn stover,Agricultural,62.9,26.1,9.8,7.3,8.6,600,10,4.0,N2,406.4,0.1966,0.0847,0.1119,1.9,55.9,3.0,2.33,30.2,0.644,0.405,8.6,None,0.0,0.0,121.5,122.4,19.8,69.4,3.29,7.0,2.0,100,6,25
DP-0581,Sun_2022,10.1016/j.scitotenv.2022.154668,Corn stover,Agricultural,57.4,26.6,31.9,7.5,7.6,800,3,0.5,N2,542.5,0.3711,0.1812,0.1899,2.7,78.8,1.9,1.3,10.4,0.289,0.099,11.2,None,0.0,0.0,118.7,73.1,14.1,57.4,4.86,3.0,10.0,200,4,30
DP-0582,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Pine wood,Woody,48.4,20.5,23.0,8.1,8.4,300,10,1.0,N2,184.8,0.0903,0.0316,0.0587,2.0,52.7,3.6,2.44,32.9,0.82,0.468,7.6,None,0.0,0.0,97.9,125.0,50.5,39.1,1.78,6.0,10.0,100,6,25
DP-0583,Ma_2023,10.1016/j.seppur.2022.122521,Switchgrass,Agricultural,39.9,13.9,21.5,2.6,0.5,600,3,0.5,N2,344.3,0.2216,0.1072,0.1144,2.6,74.6,1.0,1.24,22.7,0.161,0.228,9.1,None,0.0,0.0,64.6,107.3,43.5,46.5,1.76,5.5,2.0,50,24,30
DP-0584,Ma_2023,10.1016/j.seppur.2022.122521,Rice husk,Agricultural,31.6,22.1,37.2,13.0,0.5,450,5,1.5,N2,273.2,0.1508,0.0385,0.1123,2.2,61.4,3.0,1.3,33.8,0.586,0.413,7.6,None,0.0,0.0,94.7,110.8,36.7,78.5,1.07,6.5,5.0,100,6,30
DP-0585,Yuan_2021,10.1021/acs.est.1c01849,Coconut shell,Woody,21.1,36.7,13.8,8.8,3.3,350,10,3.0,N2,526.4,0.325,0.0821,0.2429,2.5,48.8,7.1,1.05,39.8,1.746,0.612,8.2,None,0.0,0.0,143.4,132.3,48.9,72.1,2.29,9.0,5.0,50,6,25
DP-0586,Yuan_2021,10.1021/acs.est.1c01849,Poultry litter,Waste,30.7,14.8,30.7,7.8,3.1,550,20,1.0,N2,415.4,0.2745,0.1676,0.1069,2.6,57.2,3.0,0.45,36.2,0.629,0.475,9.8,Acid-treatment,0.0,1.59,155.4,112.1,43.0,66.3,3.79,8.0,2.0,100,12,20
DP-0587,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,33.8,17.9,38.6,12.3,3.2,550,10,3.0,CO2,347.8,0.2467,0.0759,0.1708,2.8,65.8,2.5,0.29,28.2,0.456,0.321,9.1,Fe-loading,0.6,0.0,143.3,101.9,55.9,71.4,2.15,4.0,1.0,50,48,25
DP-0588,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Sugarcane bagasse,Agricultural,42.8,22.1,23.2,6.9,6.9,500,5,2.0,N2,297.2,0.2118,0.0828,0.129,2.9,53.6,3.9,1.84,33.8,0.873,0.473,7.6,Acid-treatment,0.0,1.97,117.5,103.5,37.0,69.7,2.12,4.0,2.0,50,4,25
DP-0589,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Sugarcane bagasse,Agricultural,54.0,12.3,19.9,10.8,6.2,650,20,2.0,N2,367.0,0.312,0.122,0.19,3.4,69.2,2.7,1.17,20.7,0.468,0.224,10.6,N-doping,0.0,0.36,92.1,117.0,26.5,65.0,2.36,7.0,2.0,50,24,50
DP-0590,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Wheat straw,Agricultural,44.2,26.0,14.0,10.8,15.4,450,15,2.0,CO2,323.3,0.227,0.0354,0.1916,2.8,57.4,4.1,1.18,21.9,0.857,0.286,9.0,None,0.0,0.0,100.5,78.7,35.3,66.6,1.8,6.0,4.0,20,48,30
DP-0591,Shen_2024,10.1016/j.jhazmat.2024.133442,Wheat straw,Agricultural,38.2,26.9,28.2,9.5,6.7,500,15,2.0,N2,297.4,0.1753,0.0611,0.1142,2.4,61.9,3.5,1.2,26.7,0.679,0.324,9.0,None,0.0,0.0,103.9,82.7,27.1,67.7,2.14,7.0,2.0,20,6,20
DP-0592,Sun_2022,10.1016/j.scitotenv.2022.154668,Wheat straw,Agricultural,40.0,22.0,25.0,6.3,4.6,650,10,1.0,CO2,388.2,0.269,0.1062,0.1628,2.8,70.3,2.2,0.88,22.0,0.376,0.235,10.1,N-doping,0.0,1.19,112.7,116.3,27.9,54.8,3.68,6.0,4.0,100,48,25
DP-0593,Long_2024,10.1016/j.chemosphere.2024.141584,Palm kernel shell,Woody,28.6,25.2,39.4,10.2,13.2,300,5,1.0,N2,169.6,0.1567,0.0689,0.0878,3.7,39.1,4.9,2.89,39.9,1.504,0.765,6.2,Fe-loading,5.9,0.0,160.4,145.6,54.2,88.1,1.67,6.5,1.0,200,24,20
DP-0594,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Rice husk,Agricultural,26.9,17.0,13.5,9.0,5.2,750,15,1.5,N2,561.4,0.3894,0.1618,0.2276,2.8,77.7,1.6,1.28,14.2,0.247,0.137,11.1,None,0.0,0.0,87.9,87.5,36.2,44.3,3.93,6.5,0.5,50,12,25
DP-0595,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Hickory wood,Woody,34.0,22.8,20.9,7.4,10.7,450,15,1.0,N2,245.3,0.2048,0.0677,0.1371,3.3,63.2,5.2,1.33,19.6,0.987,0.233,8.7,Fe-loading,7.2,0.0,106.8,85.4,42.6,84.8,0.92,8.0,4.0,100,6,25
DP-0596,Palansooriya_2022,10.1021/acs.est.1c08302,Bamboo,Woody,23.5,22.7,34.6,9.8,9.9,350,10,2.0,N2,213.3,0.1636,0.0513,0.1123,3.1,49.8,3.5,0.47,36.3,0.843,0.547,7.4,None,0.0,0.0,143.6,112.9,21.0,76.4,1.25,7.0,2.0,10,6,25
